"id_key_base","DDD","NUMERO","CPF","NOME","US","CEP","status"
1,"33","21010088","12345678965","MARCELO DE SOUZA","MG","20110930",1
2,"35","34652461","98765432101"," MAURICIO ESTEVAM DOS SANTOS & CIA LTDA.","MG","20110712",1
3,"31","25126727","96385274120","JOSE FREITAS","MG","20100813",1
4,"31","25647506","85296374125","JOAO GUILHERME","MG","20110520",1
5,"31","25667403","74185296302","MARCOS FERREIRA","MG","20110520",1
6,"31","25667404","14785236984","MARIA DOS SANTOS","MG","20110520",1
7,"31","25667405","4785236951","JOEL ARAUJO","MG","20110520",1
8,"31","25667407","96325874102","CAROLINE MOREIRA","MG","20110520",1
9,"31","25667410","98732145608","PAULO AUGUSTO","MG","20110520",1
10,"31","25667411","74102589630","ROBERTO CORREA","MG","20110520",1
